ID,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,created_at,updated_at
86,1892-04-02,Scotland,England,1,4,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
87,1893-02-25,England,Northern Ireland,6,1,British Championship,Birmingham,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
88,1893-03-13,England,Wales,6,0,British Championship,Stoke-on-Trent,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
89,1893-03-18,Wales,Scotland,0,8,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
90,1893-03-25,Scotland,Northern Ireland,6,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
91,1893-04-01,England,Scotland,5,2,British Championship,Richmond,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
92,1894-02-24,Wales,Northern Ireland,4,1,British Championship,Swansea,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
93,1894-03-03,Northern Ireland,England,2,2,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
94,1894-03-12,Wales,England,1,5,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
95,1894-03-24,Scotland,Wales,5,2,British Championship,Kilmarnock,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
96,1894-03-31,Northern Ireland,Scotland,1,2,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
97,1894-04-07,Scotland,England,2,2,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
98,1895-03-09,England,Northern Ireland,9,0,British Championship,Derby,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
99,1895-03-16,Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
100,1895-03-18,England,Wales,1,1,British Championship,London,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
101,1895-03-23,Wales,Scotland,2,2,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
102,1895-03-30,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
103,1895-04-06,England,Scotland,3,0,British Championship,Liverpool,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
104,1896-02-29,Wales,Northern Ireland,6,1,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
105,1896-03-07,Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
106,1896-03-16,Wales,England,1,9,British Championship,Cardiff,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
107,1896-03-21,Scotland,Wales,4,0,British Championship,Dundee,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
108,1896-03-28,Northern Ireland,Scotland,3,3,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
109,1896-04-04,Scotland,England,2,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
110,1897-02-20,England,Northern Ireland,6,0,British Championship,Nottingham,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
111,1897-03-06,Northern Ireland,Wales,4,3,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
112,1897-03-20,Wales,Scotland,2,2,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
113,1897-03-27,Scotland,Northern Ireland,5,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
114,1897-03-29,England,Wales,4,0,British Championship,Sheffield,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
115,1897-04-03,England,Scotland,1,2,British Championship,London,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
116,1898-02-19,Wales,Northern Ireland,0,1,British Championship,Llandudno,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
117,1898-03-05,Northern Ireland,England,2,3,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
118,1898-03-19,Scotland,Wales,5,2,British Championship,Motherwell,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
119,1898-03-26,Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
120,1898-03-28,Wales,England,0,3,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
121,1898-04-02,Scotland,England,1,3,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
122,1899-02-18,England,Northern Ireland,13,2,British Championship,Sunderland,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
123,1899-03-04,Northern Ireland,Wales,1,0,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
124,1899-03-18,Wales,Scotland,0,6,British Championship,Wrexham,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
125,1899-03-20,England,Wales,4,0,British Championship,Bristol,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
126,1899-03-25,Scotland,Northern Ireland,9,1,British Championship,Glasgow,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
127,1899-04-08,England,Scotland,2,1,British Championship,Birmingham,England,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
128,1900-02-03,Scotland,Wales,5,2,British Championship,Aberdeen,Scotland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
129,1900-02-24,Wales,Northern Ireland,2,0,British Championship,Llandudno,Wales,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
130,1900-03-03,Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,FALSE,2020-08-03 10:50:46.755489,2020-08-03 10:50:46.755489
